LocalityID,GENERATION,FISHGROUP,RegionName,GrossWeightPrDay,MortalityByInputCount,EconomicFCR,InputCount,HarvestSuperiorGrossBiomass_KGRatio,EndWeightGross,TemperatureBackfill3m
14000,SF15,15.00.009,Finnmark,0.010707,0.101109,1.073487,128700.97,0.910195,6.5449577,7.21372
14000,SF15,15.00.007,Finnmark,0.009572,0.164196,1.062862,126647.97,0.920361,6.0662608,7.250172
14000,SF15,15.00.008,Finnmark,0.009738,0.121698,1.138227,126156.96,0.907595,6.2492994,7.280764
14000,SF19,19.01.002,Finnmark,0.009743,0.273298,1.270831,95681.95,0.884036,7.7510198,6.1
14000,SF19,19.01.001,Finnmark,0.008992,0.333153,1.333567,101597.97,0.856937,6.9169649,5.75365
14000,SF19,19.01.003,Finnmark,0.008818,0.302229,1.44519,114251.98,0.849641,7.1276726,6.305776
14000,SF19,19.01.004,Finnmark,0.006298,0.201582,1.311417,119481.99,0.65455,4.8991595,5.601362
14000,SF19,19.01.005,Finnmark,0.008561,0.170494,1.300569,99999.98,0.896774,6.7483883,6.184104
14000,SF19,19.01.006,Finnmark,0.009918,0.192619,1.425247,96889.97,0.886933,7.7469016,6.256125
14000,SF19,19.01.007,Finnmark,0.008631,0.296995,1.462258,106924.97,0.815888,6.6918829,6.369702
14000,SF19,19.01.008,Finnmark,0.009675,0.198312,1.369648,110628.99,0.807947,7.2153667,6.279416
14001,SF19,19.01.006,Finnmark,0.008767,0.254335,1.413771,102784.98,0.827634,6.7794617,5.668083
14001,SF19,19.01.008,Finnmark,0.007379,0.289695,1.34172,127003.98,0.700877,5.6538224,5.759806
14001,SF19,19.01.007,Finnmark,0.007422,0.360051,1.408307,139527.98,0.465301,5.7232488,5.572995
14001,SF19,19.01.005,Finnmark,0.008707,0.319351,1.443247,99804.98,0.702744,6.6628627,5.586449
14001,SF19,19.01.002,Finnmark,0.009701,0.400694,1.380671,94866.98,0.709984,7.5856957,5.57129
14001,SF19,19.01.001,Finnmark,0.008697,0.328486,1.222264,94867.98,0.700383,5.2275384,5.918024
14001,SF19,19.01.004,Finnmark,0.006589,0.358522,1.585145,141050.99,0.350997,4.5683521,5.414
14001,SF19,19.01.003,Finnmark,0.006893,0.26138,1.503649,140999.97,0.312081,4.2274009,5.758987
14001,SS17,17.00.001,Finnmark,0.007941,0.089569,1.1177,148888.96,0.947692,5.315877,7.15384
14001,SS17,17.00.010,Finnmark,0.006739,0.116252,1.309757,119975.97,0.904619,4.048155,6.888149
14001,SS17,17.00.002,Finnmark,0.008234,0.099053,1.123002,156336.98,0.92442,5.7715955,7.245136
14001,SS17,17.00.009,Finnmark,0.010116,0.101958,1.056551,136032.98,0.846143,6.1662414,7.434438
14001,SS17,17.00.003,Finnmark,0.009428,0.112826,1.166406,138399.97,0.860461,6.071239,7.431921
14001,SS17,17.00.006,Finnmark,0.009715,0.110947,1.10262,136216.97,0.900681,6.0945918,7.440705
14002,SF17,17.01.003,Finnmark,0.008519,0.130962,1.228276,112310.96,0.962048,7.1300499,6.433285
14002,SF17,17.01.002,Finnmark,0.009416,0.107335,1.217749,125255.96,0.929955,7.2252469,6.206594
14002,SF17,17.01.005,Finnmark,0.008132,0.169426,1.190519,119282.97,0.962157,6.8862126,6.459279
14002,SF17,17.01.004,Finnmark,0.007714,0.150622,1.132648,112174.97,0.971844,6.5058528,6.396528
14002,SF17,17.01.006,Finnmark,0.007579,0.142188,1.202441,119426.97,0.945737,6.5602217,6.498291
14002,SF17,17.01.007,Finnmark,0.009188,0.099772,1.150852,88385.97,0.934858,5.7167253,6.901327
14002,SF17,17.01.001,Finnmark,0.009287,0.109297,1.161462,116069.96,0.842882,6.3651763,6.609887
14003,SF17,17.01.003,Finnmark,0.01023,0.14494,1.182242,162091.96,0.926755,7.4826783,6.524593
14003,SF17,17.01.001,Finnmark,0.010727,0.07618,1.263246,166604.95,0.935818,6.3897207,7.287175
14003,SF17,17.01.004,Finnmark,0.008818,0.205475,1.212503,195789.95,0.851153,6.8459489,6.716375
14003,SF17,17.01.002,Finnmark,0.010357,0.170258,1.135017,154431.96,0.882965,7.9225272,6.755694
14003,SF17,17.01.005,Finnmark,0.009154,0.140252,1.190181,166572.97,0.925285,6.0887954,6.183134
14003,SF17,17.01.006,Finnmark,0.010864,0.093019,1.155624,98999.96,0.944584,6.4921182,6.297718
14003,SF17,17.01.007,Finnmark,0.010648,0.124808,1.221269,135254.96,0.941481,7.0043999,6.214698
14003,SF19,19.01.001,Finnmark,0.007881,0.206314,1.296654,192256.96,0.501234,5.2330924,6.278179
14003,SF19,19.01.005,Finnmark,0.008925,0.19301,1.310273,195020.93,0.837903,6.3176232,6.263756
14003,SF19,19.01.002,Finnmark,0.008172,0.194293,1.649518,193013.98,0.292989,5.1215429,6.447911
14003,SF19,19.01.011,Finnmark,0.009186,0.253959,1.230609,199949.23,0.87517,6.1574524,6.271387
14003,SF19,19.01.003,Finnmark,0.006165,0.43175,1.516535,188816.96,0.519691,3.8754544,6.624244
14003,SF19,19.01.016,Finnmark,0.00675,0.326034,1.465217,218113.73,0.660044,4.542024,6.249088
14003,SF19,19.01.004,Finnmark,0.007794,0.306053,1.460579,195591.98,0.304724,4.8122663,6.447051
14003,SF19,19.01.015,Finnmark,0.009097,0.197185,1.26934,155507.92,0.897859,6.1592802,6.309603
14101,SS17,17.00.006,Finnmark,0.010127,0.387681,1.199272,184416.95,0.955885,5.7985414,7.172276
14101,SS17,17.00.019,Finnmark,0.007195,0.082792,1.046856,177972.97,0.919437,4.3269426,7.309811
14101,SS17,17.00.018,Finnmark,0.010054,0.119232,1.136152,105611.98,0.915051,5.6178599,7.325686
14101,SS17,17.00.021,Finnmark,0.011559,0.076173,1.03018,86719.91,0.903741,6.4476671,7.44516
14101,SS17,17.00.017,Finnmark,0.008302,0.100751,1.093498,172985.98,0.947736,5.0026467,7.349197
14101,SS17,17.00.015,Finnmark,0.010849,0.073872,1.046994,111012.03,0.931575,6.2088919,7.465957
14101,SS17,17.00.016,Finnmark,0.010152,0.08468,1.099306,143603.98,0.924131,5.6774201,7.401211
14101,SS17,17.00.013,Finnmark,0.008603,0.074235,1.051388,139083.97,0.955561,5.4081332,7.49829
14101,SS17,17.00.014,Finnmark,0.008876,0.079031,1.165686,139292.98,0.960271,5.6781249,7.483696
14101,SS17,17.00.011,Finnmark,0.007853,0.078627,1.117877,134286.97,0.951891,5.0323477,7.501891
14101,SS17,17.00.012,Finnmark,0.007921,0.073958,1.097908,135566.98,0.94539,4.9557931,7.497235
14101,SS17,17.00.007,Finnmark,0.010068,0.083087,1.056366,156822.96,0.933692,5.7793688,7.273803
14101,SS17,17.00.008,Finnmark,0.009875,0.105054,1.169426,157313.95,0.949259,5.5355317,7.122962
14101,SS17,17.00.005,Finnmark,0.009591,0.087525,1.07144,144500.95,0.922208,5.8494155,7.312542
14101,SS17,17.00.003,Finnmark,0.009607,0.136799,1.070774,131660.99,0.939108,6.1112138,7.310412
14101,SS17,17.00.004,Finnmark,0.010201,0.094349,1.105778,132325.96,0.946018,6.1880094,7.223116
14101,SS17,17.00.001,Finnmark,0.00921,0.122053,1.091688,146931.97,0.96352,5.5522032,6.749401
14101,SS17,17.00.002,Finnmark,0.009745,0.116835,1.154589,131951.97,0.93716,5.7416556,6.68651
14101,SS19,19.01.024,Finnmark,0.009642,0.246964,1.371524,145457.96,0.817816,6.5426556,7.089645
14101,SS19,19.01.021,Finnmark,0.009503,0.1906,1.286393,147320.96,0.865529,6.1596219,7.014491
14101,SS19,19.01.027,Finnmark,0.009125,0.118447,1.232935,169144.96,0.898161,6.0905277,6.911522
14101,SS19,19.01.025,Finnmark,0.008322,0.261027,1.4228,168460.96,0.8593,5.9269998,6.982772
14101,SS19,19.01.026,Finnmark,0.010037,0.167073,1.141279,149810.98,0.91011,6.4726545,7.045686
14101,SS19,19.01.028,Finnmark,0.008832,0.224153,1.24201,170078.97,0.893002,6.1643342,6.975827
14101,SS19,19.01.029,Finnmark,0.008671,0.181619,1.238573,169163.96,0.872178,5.7227639,6.842004
14101,SS19,19.01.002,Finnmark,0.008132,0.116875,1.247512,168583.97,0.950395,5.5095976,6.836532
14101,SS19,19.01.004,Finnmark,0.009209,0.100395,1.171589,172545.96,0.890738,6.1266662,6.878832
14102,SS17,17.01.001,Finnmark,0.008987,0.151248,1.166646,136927.96,0.859626,6.6611262,6.550997
14102,SS17,17.01.002,Finnmark,0.009287,0.143466,1.142895,136342.96,0.862972,6.9964377,6.472715
14102,SS17,17.01.003,Finnmark,0.010123,0.116253,1.077942,110177.97,0.91676,6.6872133,6.757389
14102,SS17,17.01.004,Finnmark,0.010162,0.112378,1.028099,111633.98,0.913485,6.6336392,6.760794
14102,SS17,17.01.006,Finnmark,0.009936,0.133476,1.354081,111929.97,0.842819,7.5050635,6.377356
14102,SS17,17.01.005,Finnmark,0.010459,0.207268,1.184081,113020.96,0.826198,7.8020846,6.400666
14102,SS17,17.01.009,Finnmark,0.010267,0.115446,1.110903,142001.96,0.944968,6.5212254,6.758794
14102,SS17,17.01.023,Finnmark,0.003857,0.491839,1.586659,187556.93,0.683676,3.2810961,6.068424
14102,SS17,17.01.010,Finnmark,0.010021,0.115869,1.090611,136210.96,0.910187,6.4595952,6.76167
14102,SS17,17.01.011,Finnmark,0.010781,0.144617,1.113693,112921.98,0.872665,7.5174238,6.593646
14102,SS17,17.01.012,Finnmark,0.010121,0.135536,1.114625,111641.95,0.847447,7.5677479,6.356348
14102,SS17,17.01.022,Finnmark,0.006208,0.471644,1.466553,187287.01,0.767969,4.6041288,6.080709
14102,SS17,17.01.013,Finnmark,0.009976,0.129346,1.172984,110825.96,0.900546,7.1952758,6.514333
14102,SS19,19.01.016,Finnmark,0.00591,0.540003,2.341644,94510.36,0.335279,3.9869497,6.346258
14102,SS19,19.01.014,Finnmark,0.005551,0.194936,1.252113,141737.97,0.798694,4.0358364,6.137588
14102,SS19,19.01.011,Finnmark,0.006574,0.183326,1.207779,130428.98,0.800721,4.659766,6.125979
14102,SS19,19.01.012,Finnmark,0.006231,0.18313,1.278142,128999.97,0.718816,4.447658,6.143145
14102,SS19,19.01.013,Finnmark,0.006375,0.156585,1.241149,130292.98,0.790979,4.5716125,6.11633
14102,SS19,19.01.009,Finnmark,0.006998,0.140618,1.153965,130219.98,0.702022,5.003852,6.184883
14102,SS19,19.01.010,Finnmark,0.006413,0.150937,1.23712,130139.96,0.735438,4.6632154,6.193252
14102,SS19,19.01.006,Finnmark,0.006431,0.182039,1.318898,196849.97,0.864481,4.7072456,6.235241
14102,SS19,19.01.008,Finnmark,0.006461,0.174541,1.305176,131910.99,0.705736,4.7095791,6.180454
14102,SS19,19.01.005,Finnmark,0.007759,0.121506,1.237715,109100.98,0.913866,5.4029996,6.258546
14102,SS19,19.01.007,Finnmark,0.007955,0.114723,1.273313,108896.97,0.911639,5.4554378,6.280137
14102,SS19,19.01.004,Finnmark,0.006685,0.351424,1.605052,95931.59,0.614215,4.3610128,6.346258
14102,SS19,19.01.003,Finnmark,0.007917,0.142726,1.465218,85242.97,0.588305,5.5803136,6.347941
14102,SS19,19.01.001,Finnmark,0.007456,0.307673,1.767371,148999.98,0.506858,5.6200182,6.388756
14102,SS19,19.01.002,Finnmark,0.008401,0.115096,1.361983,103536.98,0.949824,6.1644435,6.390149
14103,SF17,17.01.014,Finnmark,0.008505,0.106209,1.195991,115336.23,0.849892,5.3958689,6.199806
14103,SF17,17.01.030,Finnmark,0.01084,0.126269,1.204021,72501.94,0.863154,8.1077624,6.571914
14103,SF17,17.01.017,Finnmark,0.008638,0.110158,1.210117,134723.97,0.855376,4.6583353,6.756268
14103,SF17,17.01.002,Finnmark,0.00848,0.101476,1.206939,121130.93,0.75135,5.6177807,6.163896
14103,SF17,17.01.027,Finnmark,0.008103,0.093861,1.098453,120933.12,0.925304,5.1835552,6.220638
14103,SF17,17.01.006,Finnmark,0.011166,0.090908,1.166633,92377.98,0.916067,5.503408,6.83921
14103,SF17,17.01.005,Finnmark,0.009008,0.101698,1.196247,120135.5,0.895591,5.4702023,6.308214
14103,SF17,17.01.009,Finnmark,0.008524,0.097357,1.221782,120946.04,0.891432,5.1502954,6.339453
14103,SF17,17.01.026,Finnmark,0.011292,0.117055,1.256751,80310.34,0.850799,8.3313134,6.545444
14103,SF17,17.01.001,Finnmark,0.008313,0.102855,1.158774,153968.94,0.892275,5.4443312,6.174789
14103,SF17,17.01.011,Finnmark,0.01048,0.134846,1.217506,121321.63,0.879534,7.7133583,6.502136
14103,SF17,17.01.010,Finnmark,0.008448,0.089926,1.171821,114586.95,0.948197,4.7627864,6.573255
14103,SF17,17.01.018,Finnmark,0.009005,0.151383,1.191301,111887.98,0.915885,6.502574,6.470702
14103,SF17,17.01.031,Finnmark,0.010931,0.134514,1.173504,65268.65,0.849474,8.0044004,6.516368
14103,SF17,17.01.025,Finnmark,0.01053,0.133961,1.20625,88140.37,0.827544,7.7840509,6.528195
14103,SS19,19.01.008,Finnmark,0.010085,0.115083,1.1528,112625.18,0.867656,6.9131759,7.015337
14103,SS19,19.01.004,Finnmark,0.009232,0.164956,1.135293,129422.99,0.953384,5.5534012,6.727388
14103,SS19,19.01.007,Finnmark,0.009698,0.149612,1.19217,110183.27,0.877237,7.0564857,6.953916
14103,SS19,19.01.005,Finnmark,0.010301,0.147342,1.224386,133873.96,0.835707,7.2653845,6.958467
14103,SS19,19.01.006,Finnmark,0.009683,0.112252,1.179609,159738.45,0.856187,7.1857385,6.910671
14103,SS19,19.01.002,Finnmark,0.009921,0.135205,1.216981,138309.98,0.823134,6.8190115,7.028255
14103,SS19,19.01.003,Finnmark,0.0116,0.166451,1.188892,138817.96,0.858673,7.6203114,7.025592
14103,SS19,19.01.001,Finnmark,0.00886,0.138248,1.152122,149483.96,0.920227,6.1922891,6.956194
14105,SF19,19.01.002,Finnmark,0.005216,0.24691,1.380662,194037.98,0.726067,4.1857475,5.250028
14105,SF19,19.01.005,Finnmark,0.004947,0.36629,1.325451,146999.99,0.895173,3.8445548,5.280442
14105,SF19,19.01.003,Finnmark,0.005237,0.172307,1.221234,194711.99,0.789213,4.2514586,5.327452
14105,SF19,19.01.004,Finnmark,0.005345,0.307807,1.315712,149999.99,0.877494,4.1250159,5.322458
14105,SF19,19.01.001,Finnmark,0.006849,0.315881,1.484312,190923.99,0.853521,5.1360116,5.204993
14105,SF19,19.01.006,Finnmark,0.006064,0.349059,1.207698,195796.98,0.897093,4.3785116,5.266105
14105,SF19,19.01.007,Finnmark,0.005828,0.618084,1.332358,195797.98,0.849403,4.2172089,5.240616
14200,SF18,18.01.006,Finnmark,0.009907,0.088864,1.124886,83500.6,0.87289,5.4581319,6.570514
14200,SF18,18.01.016,Finnmark,0.007269,0.104263,1.201547,148068.97,0.891428,5.5396301,5.887378
14200,SF18,18.01.015,Finnmark,0.00921,0.155948,1.221455,94716.67,0.841904,6.805284,5.906331
14200,SF18,18.01.011,Finnmark,0.01049,0.080851,1.078342,84146.37,0.982236,5.2565093,6.569558
14200,SF18,18.01.005,Finnmark,0.009616,0.095556,1.078128,104670.98,0.980237,4.8740023,6.55979
14200,SF18,18.01.003,Finnmark,0.008551,0.178086,1.251336,154823.97,0.582327,5.6003913,6.278684
14200,SF18,18.01.002,Finnmark,0.008146,0.19974,1.240992,100504.73,0.785427,5.7789297,5.95666
14200,SF18,18.01.001,Finnmark,0.00787,0.216052,1.384108,100525.54,0.555059,5.5101485,6.024206
14201,SF18,18.01.004,Finnmark,0.010583,0.096316,1.125921,105159.97,0.980808,5.3375042,6.499593
14201,SF18,18.01.005,Finnmark,0.007631,0.229636,1.24166,140156.97,0.891847,5.539735,5.565296
14201,SF18,18.01.001,Finnmark,0.008561,0.141572,1.190005,107416.98,0.636139,5.3132277,6.076792
14201,SF18,18.02.006,Finnmark,0.007728,0.212844,1.338924,99039.99,0.437056,4.7180938,5.799301
14201,SF18,18.02.001,Finnmark,0.009305,0.130191,1.213952,92855.58,0.75618,5.1404237,6.640409
14201,SF18,18.01.006,Finnmark,0.00769,0.085819,1.102269,107402.98,0.841584,4.3150297,6.461579
14201,SF18,18.02.007,Finnmark,0.007636,0.22326,1.263816,136601.98,0.439729,5.0660514,6.107359
14201,SF18,18.02.004,Finnmark,0.010393,0.093577,1.191199,93167.38,0.965248,5.2428078,6.671551
14201,SS16,16.01.004,Finnmark,0.008713,0.146639,1.115266,88003.07,0.907241,6.51834,6.133095
14201,SS16,16.01.002,Finnmark,0.009467,0.127115,1.171982,94053.71,0.73218,7.3900598,6.506414
14201,SS16,16.01.003,Finnmark,0.009493,0.161475,1.258713,84269.48,0.613857,7.524195,6.541398
14201,SS16,16.01.001,Finnmark,0.008035,0.100777,1.09565,114878.62,0.912641,5.8852603,6.118141
14201,SS16,16.00.003,Finnmark,0.008474,0.194443,1.21974,127596.95,0.87359,6.1409482,6.707186
14201,SS16,16.00.004,Finnmark,0.008086,0.230895,1.350971,96367.23,0.723448,5.9833778,6.370535
14201,SS16,16.00.002,Finnmark,0.007826,0.108368,1.290226,83999.86,0.957933,5.2962747,7.655567
14201,SS16,16.00.001,Finnmark,0.011899,0.115081,1.165245,99052.21,0.823891,7.094264,8.01793
14202,SF18,18.01.014,Finnmark,0.008212,0.200822,1.24441,76679.38,0.474365,5.2994508,6.403117
14202,SF18,18.01.007,Finnmark,0.006321,0.226682,1.257981,114610.29,0.600412,4.324318,6.060307
14202,SF18,18.01.015,Finnmark,0.009546,0.08373,1.061502,73003.59,0.94473,5.1304967,6.824939
14202,SF18,18.01.005,Finnmark,0.007019,0.209871,1.215027,137122.97,0.450024,4.4001709,6.580845
14202,SF18,18.01.006,Finnmark,0.007025,0.227103,1.315429,116994.17,0.521667,4.5373903,6.245344
14202,SF18,18.01.013,Finnmark,0.0063,0.217556,1.322132,113453.47,0.629054,4.3515504,6.057789
14202,SF18,18.01.011,Finnmark,0.009518,0.100425,1.048241,96438.98,0.908338,5.3010845,6.804907
14202,SF18,18.01.010,Finnmark,0.010035,0.087892,1.045177,94970.98,0.981363,5.0858957,6.871319
14204,SF16,16.00.001,Finnmark,0.009111,0.253032,1.207337,183634.95,0.661466,5.6927481,6.853868
14204,SF16,16.00.002,Finnmark,0.010716,0.24028,1.351055,128660.96,0.652122,6.7609662,6.631222
14204,SF16,16.00.008,Finnmark,0.008728,0.138408,1.134904,113592.98,0.796008,5.5607693,6.279636
14204,SF16,16.00.004,Finnmark,0.008942,0.210004,1.329756,112908.98,0.778413,5.2548468,6.526487
14204,SF16,16.00.003,Finnmark,0.007713,0.156095,1.22213,117420.98,0.662333,5.0052848,6.291989
14204,SF16,16.00.009,Finnmark,0.008912,0.280836,1.453111,95431.98,0.323218,4.740751,6.9344
14204,SF16,16.00.007,Finnmark,0.008401,0.134264,1.269947,116937.99,0.745421,5.2761246,6.312941
14204,SF18,18.01.001,Finnmark,0.010773,0.14085,1.210945,123169.96,0.540184,7.3908517,5.484255
14204,SF18,18.01.006,Finnmark,0.008175,0.148257,1.165875,113942.98,0.667719,4.3405707,5.640372
14204,SF18,18.01.004,Finnmark,0.008175,0.187755,1.347501,126711.99,0.610701,4.3894,5.682962
